
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 6.000000e+01 * a0, G = 1.077890e+04, G * par = 2.155779e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par = 9.443909e+03, edd = 1.835000e+00
     Dipolar cutoff Rcut = 3.800000e+00, Lcut = 1.300000e+02

QF = 1: h2 = 1.400660e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 6.446430e+00

GRAD = 0

Trap parameters:
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 2.031250e+00, DY = 5.937500e-02, DZ = 5.937500e-02
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 1000000 (NSNAP = 15000)
                     DT = 1.762695e-03

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      <r>            <x>            <y>            <z>
72        1.412472e+01   1.382212e+01   2.057141e+00   2.055459e+00  
73        1.413826e+01   1.383482e+01   2.061182e+00   2.059025e+00  
74        1.413836e+01   1.383455e+01   2.058552e+00   2.064185e+00  
75        1.415449e+01   1.384932e+01   2.065922e+00   2.068287e+00  
76        1.415023e+01   1.384622e+01   2.062910e+00   2.062877e+00  
77        1.415854e+01   1.385369e+01   2.066502e+00   2.066176e+00  
78        1.417427e+01   1.387178e+01   2.058204e+00   2.060953e+00  
79        1.418205e+01   1.387796e+01   2.064685e+00   2.066352e+00  
80        1.417877e+01   1.387513e+01   2.061779e+00   2.065745e+00  
81        1.417721e+01   1.387268e+01   2.066911e+00   2.066333e+00  
82        1.418702e+01   1.388249e+01   2.069166e+00   2.065543e+00  
83        1.417656e+01   1.387185e+01   2.065067e+00   2.069329e+00  
84        1.419489e+01   1.388949e+01   2.071680e+00   2.070056e+00  
85        1.418958e+01   1.388446e+01   2.066284e+00   2.072780e+00  
86        1.418622e+01   1.387869e+01   2.074819e+00   2.079858e+00  
87        1.418910e+01   1.388257e+01   2.070503e+00   2.077956e+00  
88        1.419828e+01   1.389144e+01   2.075466e+00   2.076393e+00  
89        1.418660e+01   1.388051e+01   2.073119e+00   2.071993e+00  
90        1.418503e+01   1.387801e+01   2.075111e+00   2.076046e+00  
91        1.418490e+01   1.387747e+01   2.077973e+00   2.075865e+00  
92        1.418310e+01   1.387624e+01   2.074180e+00   2.075550e+00  
93        1.418480e+01   1.387637e+01   2.080768e+00   2.079743e+00  
94        1.419517e+01   1.388723e+01   2.080668e+00   2.078148e+00  
95        1.418713e+01   1.387833e+01   2.085160e+00   2.078175e+00  
96        1.419850e+01   1.389048e+01   2.080312e+00   2.079467e+00  
97        1.419951e+01   1.389016e+01   2.083524e+00   2.085261e+00  
98        1.420531e+01   1.389656e+01   2.083950e+00   2.081776e+00  
99        1.421607e+01   1.390713e+01   2.084021e+00   2.084517e+00  
100       1.421080e+01   1.390108e+01   2.084177e+00   2.088726e+00  
101       1.421178e+01   1.390174e+01   2.084577e+00   2.090627e+00  
102       1.422434e+01   1.391332e+01   2.090009e+00   2.093636e+00  
103       1.423281e+01   1.392274e+01   2.085294e+00   2.093301e+00  
104       1.422055e+01   1.390942e+01   2.092292e+00   2.091559e+00  
105       1.421986e+01   1.390720e+01   2.096242e+00   2.097616e+00  
106       1.421687e+01   1.390416e+01   2.095681e+00   2.098039e+00  
107       1.422187e+01   1.391001e+01   2.094028e+00   2.094836e+00  
108       1.422412e+01   1.391144e+01   2.095468e+00   2.099152e+00  
109       1.423187e+01   1.391989e+01   2.095900e+00   2.095201e+00  
110       1.424096e+01   1.392922e+01   2.096025e+00   2.094844e+00  
111       1.423512e+01   1.392160e+01   2.099600e+00   2.102239e+00  
