-------------------------------------------------------------------------------------------------------------------------------------------------------------
Snap      mu             Kin            Pot            Contact        DDI            Dmu(Contact)   Dmu(DDI)       Dmu(grad)      Rot            Lx  
-------------------------------------------------------------------------------------------------------------------------------------------------------------
0         -2.473553e+00  1.676957e+00   0.000000e+00   1.180987e+02   -2.187520e+02  9.650278e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
1         -1.625221e+01  2.414624e+00   0.000000e+00   1.034336e+02   -1.919211e+02  6.982061e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
2         -1.621117e+01  2.413513e+00   0.000000e+00   1.034663e+02   -1.919400e+02  6.984902e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
3         -7.813634e+00  2.407900e+00   0.000000e+00   1.044541e+02   -1.858378e+02  7.116216e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
4         -7.491165e+00  2.401681e+00   0.000000e+00   1.040593e+02   -1.847301e+02  7.077797e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
5         -7.535060e+00  2.402262e+00   0.000000e+00   1.040581e+02   -1.847708e+02  7.077532e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
6         -7.543502e+00  2.402373e+00   0.000000e+00   1.040579e+02   -1.847787e+02  7.077484e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
7         -7.545121e+00  2.402394e+00   0.000000e+00   1.040579e+02   -1.847802e+02  7.077475e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
8         -7.545431e+00  2.402399e+00   0.000000e+00   1.040579e+02   -1.847805e+02  7.077473e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
9         -7.545490e+00  2.402399e+00   0.000000e+00   1.040579e+02   -1.847805e+02  7.077473e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
10        -7.545501e+00  2.402399e+00   0.000000e+00   1.040579e+02   -1.847805e+02  7.077473e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
11        -7.545504e+00  2.402399e+00   0.000000e+00   1.040579e+02   -1.847805e+02  7.077473e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
12        -7.545504e+00  2.402399e+00   0.000000e+00   1.040579e+02   -1.847805e+02  7.077473e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
13        -7.545504e+00  2.402399e+00   0.000000e+00   1.040579e+02   -1.847805e+02  7.077473e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
14        -7.545504e+00  2.402399e+00   0.000000e+00   1.040579e+02   -1.847805e+02  7.077473e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
15        -7.545504e+00  2.402399e+00   0.000000e+00   1.040579e+02   -1.847805e+02  7.077473e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
16        -7.545504e+00  2.402399e+00   0.000000e+00   1.040579e+02   -1.847805e+02  7.077473e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
-------------------------------------------------------------------------------------------------------------------------------------------------------------

